Lyrics,Words,Omegle Bars Episode,Fast Flow (Y/N),Flow State (Start/Pocket),Lyric State (Verse/Hook),Link
florescent like an HD screen,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I'm a show you all just what I mean,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I said I'm tripping ya'll I'm crazy I deliver insane flows,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I'm spitting more colors than a m'fucking rainbow,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
yeah I rip the MIC and rock your soul,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
go to the end of the rainbow and cop the pot of gold,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I'm getting shy now,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
from here to Lebanon,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I cop the pot of gold like a leprechaun,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
do what I feel,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
ya'll know I'm ready to spark,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
and like a rainbow,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I'm a make a whole back arc,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
HMack all up in it,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
ya'll know I'm a better dude,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
sipping beers all up at the pub called weatherspoons,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
yeah say the word a little louder so I can hear it and I'm a make you prouder,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
uh they love me ,pepsi,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
Harry Mack celebrating with the bubbly,pepsi,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
you want to know the greatest rapper hold up lets see,pepsi,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I'm classic like coke and I bubble like pepsi,pepsi,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
yeah ya'll know I'm really on a mission,pepsi,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
like coke to pepsi these rappers my competition,pepsi,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
doing what I'm feeling I'm the microphone controller,pepsi,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
and the lyrics that I'm kicking be more sweeter than a cola,pepsi,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
hit me with another word dawg one time ,pepsi,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I say it in my rhyme,vinyl,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
every word is final ,vinyl,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I'm about to crack your spinal,vinyl,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
and I make head spin three sixty like a vinyl,vinyl,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
compared to rappers man mine sound much better,vinyl,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
they like a CD I'm like vinyl record,vinyl,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
yeah I really storm every time I perform,vinyl,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
said my vocal tone like a vinyl record cause it be worn,vinyl,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I'm a hit you too hard,vinyl,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I'm way above average,spoon,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
and ya'll know that the Mack about to spit through the static,spoon,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
uh we in the matrix,spoon,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I'm proving it soon,spoon,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I can bend it with my mind cause there is no spoon,spoon,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
uh I got the free flow,spoon,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
hold up here we go,spoon,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
they be saying Harry Mack the one,spoon,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
Neo,spoon,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
uh ,spoon,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
ayo ya'll know that I'm too ill,spoon,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I'm a go deep ,spoon,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
take both the red and blue pill,spoon,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
yeah,adapter,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
ayo ya'll know who they loving,adapter,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
kind of like that adapter,adapter,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I'm staying plugged in,adapter,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
Harry Mack I'm really doing it large,adapter,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
don't need no adapter but you know I stay so charged,adapter,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
yeah uh,champion hat,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
they be understanding my raps,champion hat,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I'm going over your head like a champion hat,champion hat,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I'm the illest when I spit it ,champion hat,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
they cant fuck with that,champion hat,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
in love with that,champion hat,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
peace my man in the bucket hat,champion hat,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I be the rap smith,champion hat,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I'm sharper than cactus ,champion hat,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I see the wall behind you dawg,champion hat,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
you repping the atlas,champion hat,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
uh ayo I do what I feel,apple watch,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
so pay the cost ,apple watch,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
my brain more advance than a fucking apple watch,apple watch,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
yeah I'm flowing divine,apple watch,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I'm showing my shine ,apple watch,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
yeah me and the beats combine,apple watch,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I'm knowing the time,apple watch,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
believe it,apple watch,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
tear rappers to pieces,apple watch,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
ya'll know I'm bigger ,apple watch,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
my mans holding up a hilarious action figure,action figure,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
yeah I'm about to grip up on the mic then I bust fast,action figure,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
just like that action figure I be growing my mustache,action figure,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
yeah peace to my homie who be holding up objects ,action figure,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
they asking Harry Mack how come you aint a god yet,action figure,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
well listen I'm all up on ya,monster engergy drink,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
smoking a room with marijuana,monster engergy drink,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
turn it into a sauna,monster engergy drink,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
kind of like a engery drink ,monster engergy drink,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
yo I'm a monster,monster engergy drink,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
yeah I'm really a savage when I be spitting,monster engergy drink,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
Im waking you up,monster engergy drink,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
at lot of these rappers that be stepping,monster engergy drink,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
they faker than fuck,monster engergy drink,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
so peace to my man,monster engergy drink,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
make you know I'm about to rip it,monster engergy drink,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
he be nodding his head,monster engergy drink,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
cause my flow is so exquisite,monster engergy drink,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
yeah ayo I bring ya'll back to the essence ,florescent wine glass,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
yo that wine glass is full circle,florescent wine glass,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
cause it is florescent,florescent wine glass,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
uh its Harry Mack ya'll know I'm like none other,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
florescent,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
because it has the rainbow colors,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
yeah its Mack getting busy in the booth,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
yo shout out my man,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
thanks so much for getting loose,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
like that,florescent adolescence rainbow wetherspoons,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
yo I'm fly homes,iphone,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
plugged in like an iphone,iphone,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
I'm let them all know,iphone,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
hard to find like waldo,iphone,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
uh I'm a see direct to the horizon,iphone,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
shine like rainbows that connected just like verison,iphone,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
meh,iphone,1-1,,,,https://www.youtube.com/watch?v=NPdKxsSE5JQ&list=PLtbrIhAJmrPALgw6Ko7H78WxHC3pzxeZl&index=1
